




;;aangebeden;;NLPartAdj;
;;aangebeld;;NLPartAdj;
;;aangeblazen;;NLPartAdj;
;;aangebleven;;NLPartAdj;
;;aangeboden;;NLPartAdj;
;;aangebonden;;NLPartAdj;
;;aangeboord;;NLPartAdj;
;;aangeboorde;;NLAttradj
;;aangebouwd;;NLPartAdj;
;;aangebouwde;;NLAttradj;
;;aangebracht;;NLPartAdj;
;;aangebrachte;;NLAttradj;
;;aangebraden;;NLPartAdj;
;;aangebrand;;NLPartAdj;
;;aangebrande;;NLAttradj;
;;aangebroken;;NLPartAdj;
;;aangedaan;;NLPartAdj;
;;aangedane;;NLAttradj;
;;aangediend;;NLPartAdj;
;;aangedikt;;NLPartAdj;
;;aangedikte;;NLAttradj;
;;aangedraafd;;NLPartAdj;
;;aangedraaid;;NLPartAdj;
;;aangedragen;;NLPartAdj;
;;aangedreven;;NLPartAdj;
;;aangedrongen;;NLPartAdj;
;;aangedrukt;;NLPartAdj;
;;aangeduid;;NLPartAdj;
;;aangeduide;;NLAttradj;
;;aangedurfd;;NLPartAdj;
;;aangeef;;NLVerb;
;;aangeeft;;NLVerb;
;;aangefietst;;NLPartAdj;
;;aangegaan;;NLPartAdj;
;;aangegaapt;;NLPartAdj;
;;aangegane;;NLAttradj;
;;aangegeven;;NLPartAdj;
;;aangegoten;;NLPartAdj;
;;aangegrepen;;NLPartAdj;
;;aangegroeid;;NLPartAdj;
;;aangehaakt;;NLPartAdj;
;;aangehaald;;NLPartAdj;
;;aangehaalde;;NLAttradj;
;;aangehad;;NLPartAdj;
;;aangehangen;;NLPartAdj;
;;aangeharkte;;NLAttradj
;;aangehecht;;NLPartAdj;
;;aangehechte;;NLAttradj;
;;aangeheven;;NLPartAdj;
;;aangehitst;;NLPartAdj;
;;aangehold;;NLPartAdj;
;;aangehoord;;NLPartAdj;
;;aangehouden;;NLPartAdj;
;;aangejaagd;;NLPartAdj;
;;aangekaart;;NLPartAdj;
;;aangekeken;;NLPartAdj;
;;aangeklaagd;;NLPartAdj;
;;aangeklaagde;;NLPartAdj;
;;aangeklampt;;NLPartAdj;
;;aangeklede;;NLAttradj;
;;aangekleed;;NLPartAdj;
;;aangeklemd;;NLPartAdj;
;;aangeklikt;;NLPartAdj;
;;aangeklopt;;NLPartAdj;
;;aangeknipt;;NLPartAdj;
;;aangeknoopt;;NLPartAdj;
;;aangekocht;;NLPartAdj;
;;aangekochte;;NLAttradj;
;;aangekoekt;;NLPartAdj;
;;aangekoekte;;NLAttradj
;;aangekomen;;NLPartAdj;
;;aangekondigd;;NLPartAdj;
;;aangekondigde;;NLAttradj;
;;aangekoppeld;;NLPartAdj;
;;aangekregen;;NLPartAdj;
;;aangekropen;;NLPartAdj;
;;aangekruist;;NLPartAdj;
;;aangekund;;NLPartAdj;
;;aangekweekt;;NLPartAdj;
;;aangeland;;NLPartAdj;
;;aangelaten;;NLPartAdj;
;;aangeleerd;;NLPartAdj;
;;aangeleerde;;NLAttradj
;;aangelegd;;NLPartAdj;
;;aangelegde;;NLAttradj;
;;aangelengd;;NLPartAdj;
;;aangelengde;;NLAttradj;
;;aangeleund;;NLPartAdj;
;;aangeleverd;;NLPartAdj;
;;aangeleverde;;NLAttradj;
;;aangelijnd;;NLPartAdj;
;;aangelokt;;NLPartAdj;
;;aangelopen;;NLPartAdj;
;;aangemaakt;;NLPartAdj;
;;aangemaakte;;NLAttradj;
;;aangemeerd;;NLPartAdj;
;;aangemeerde;;NLAttradj
;;aangemeld;;NLPartAdj;
;;aangemerkt;;NLPartAdj;
;;aangemerkte;;NLAttradj
;;aangemeten;;NLPartAdj;
;;aangemoedigd;;NLPartAdj;
;;aangemonsterd;;NLPartAdj;
;;aangenaaid;;NLPartAdj;
;;aangenaaide;;NLAttradj
;;aangenaamste;;NLAttradj;
;;aangename;;NLAttradj;
;;aangenamere;;NLAttradj
;;aangenomen;;NLPartAdj;
;;aangepakt;;NLPartAdj;
;;aangepapt;;NLPartAdj;
;;aangepast;;NLPartAdj;
;;aangepaste;;NLAttradj;
;;aangeplakt;;NLPartAdj;
;;aangeplakte;;NLAttradj
;;aangeplant;;NLPartAdj;
;;aangeplante;;NLAttradj;
;;aangepord;;NLPartAdj;
;;aangepraat;;NLPartAdj;
;;aangeprezen;;NLPartAdj;
;;aangeraakt;;NLPartAdj;
;;aangeraden;;NLPartAdj;
;;aangerand;;NLPartAdj;
;;aangerande;;NLAttradj;
;;aangereden;;NLPartAdj;
;;aangereikt;;NLPartAdj;
;;aangereikte;;NLAttradj;
;;aangerekend;;NLPartAdj;
;;aangerekende;;NLAttradj;
;;aangerend;;NLPartAdj;
;;aangericht;;NLPartAdj;
;;aangerichte;;NLAttradj;
;;aangeroepen;;NLPartAdj;
;;aangeroerd;;NLPartAdj;
;;aangerold;;NLPartAdj;
;;aangerukt;;NLPartAdj;
;;aangeschaft;;NLPartAdj;
;;aangeschafte;;NLAttradj
;;aangeschakeld;;NLPartAdj;
;;aangescherpt;;NLPartAdj;
;;aangescherpte;;NLAttradj;
;;aangeschoven;;NLPartAdj;
;;aangeschreven;;NLPartAdj;
;;aangeslagen;;NLPartAdj;
;;aangesleept;;NLPartAdj;
;;aangesloten;;NLPartAdj;
;;aangesmeerd;;NLPartAdj;
;;aangesneden;;NLPartAdj;
;;aangesneld;;NLPartAdj;
;;aangesnoerd;;NLPartAdj;
;;aangespannen;;NLPartAdj;
;;aangespeeld;;NLPartAdj;
;;aangespoeld;;NLPartAdj;
;;aangespoelde;;NLAttradj;
;;aangespoord;;NLPartAdj;
;;aangesproken;;NLPartAdj;
;;aangesprongen;;NLPartAdj;
;;aangestaan;;NLPartAdj;
;;aangestaard;;NLPartAdj;
;;aangestaarde;;NLAttradj;
;;aangestampt;;NLPartAdj;
