/* Default labels //
34;5,10,$;JPPronDemon;typeOther;label for Demonstrative Pronouns;0;06-sep-2012-mno;
35;5,10,$;JPPronIndef;typeOther;label for Indefinite Pronouns;0;21-sep-2012-mno;
201;5,10,$;JPConj;typeRelation;label for conjunction;0;05-jun-2012-mno;
315;5,10,$;JPConjOR;typeRelation;Label for Conjunction meaning "OR";0;26-sep-2013-mno;
202;5,10,13,$;JPPartAdvNOUN;typeRelation;label for word that can be an advervial particle or a noun;0;05-jun-2012-mno;
207;5,10,$;JPAdjNR;typeOther;label for adjectives that should be considered NonRelevant;0;11-jun-2012-mno;
208;5,10,$;JPAttributiveNR;typeOther;label for attributive that is NonRelevant;0;6-jul-2012-mno;
209;5,10,$;JPSuffixAdjVStem;typeRelation;label for Adjectival Verb like Suffix stem;0;11-jul-2012-mno;
243;5,10,$;JPPrefixAdjVStem;typeRelation;label for Verbs that come before SuffixAdjVStem;0;03-dec-2012-mno;

/* Noun //
36;5,10,$;JPMonth;typeConcept;label for name of the month;0;23-jul-2012-mno;
348;5,$;JPYear;typeConcept;Label that indicates Year;0;20-nov-2014-mno;
375;5,$;JPWeek;typeConcept;Label that indicates Week;0; - #67-mno;
326;5,10,$;JPPerson;typeConcept;Label for a Person's Name;0;08-jan-2014-mno;
37;5,10,$;JPSuffixNoun;typeConcept;label for word that can be a noun suffix or something else;0;05-jun-2012-mno;
325;5,10,$;JPSuffixPerson;typeConcept;Label for word that follows a person's name or something else;0;08-jan-2014-mno;
362;5,$;JPSeparateDate;typeBeginEndConcept;label for date to be a concept by itself;0;28-sep-2016-mno;
363;3,5,$;JPYearNum;typeConcept;Number that indicates Year;0;28-sep-2016-mno;
364;5,$;JPMonthNum;typeConcept;Number that indicates Month;0;28-sep-2016-mno;
365;5,$;JPDateNum;typeConcept;Number that indicates Date;0;28-sep-2016-mno;
367;5,$;JPTimeNum;typeConcept;Number that indicates Time;0;29-sep-2016-mno;
366;5,$;JPYobi;typeOther;Day of the week;0;29-sep-2016-mno;
368;5,$;JPSeason;typeAttribute;season;0;15-feb-2017-mno - 2017.2-mno;
378;3;JPOne;typeAttribute;"1 year", "1 day";0; - #67-mno;
210;3,5,10,13,$;JPNumber;typeConcept;label for numbers;0;19-jul-2012-mno;
342;3,$;JPListNumber;typeOther;Label for ①②③, etc.;0;04-nov-2014-mno;
211;3,5,10,$;JPTime;typeConcept;label for time-related words;0;20-jul-2012-mno;
236;5,10,13,$;JPDate;typeConcept;label for date-related word 日;0;16-nov-2012-mno;
212;3,5,10,$;JPCount;typeConcept;label for counting words;0;23-jul-2012-mno;
234;5,10,$;JPFraction;typeConcept;label for fractions;0;05-nov-2012-mno;
343;5,$;JPFrequency;typeConcept;Label for frequencies;0;07-nov-2014-mno;
359;5,$;JPimperialEra;typeConcept;Imperial Era Names;0;31-jul-2016-mno;

/* Flavors of Adjectives //
38;5,10,$;JPAdjNoun;typeConcept;label for adjectival nouns;0;02-05-2012-mno;
39;5,10,$;JPAdjNounSuffix;typeConcept;label for the character 的 which can attach to a noun to create an adjectival noun;0;03-05-2012-mno;
40;5,10,$;JPAdjNounTARI;typeConcept;label for Adjectival Noun TARI;0;6-jul-2012-mno;
41;5,10,13,$;JPAttributive;typeConcept;label for attributive;0;6-jul-2012-mno;
42;5,10,$;JPAttributiveNeg;typeConcept;label for negating attributive;0;02-aug-2012-mno;
43;5,10,$;JPAdjVStem;typeConcept;label for adjectival verb stem ;0;3-jul-2012-mno ** changed to typeConcept on 18-jun-2013 **;
44;5,7,10,13,17,$;JPAdjVBase;typeConcept;label for Adjectival Verb Predicative/Attributive Form;0;6-jul-2012-mno;
45;5,10,$;JPAdjVCond;typeRelation;label for Adjectival Verb Conditional Form;0;02-aug-2012-mno;
46;5,10,$;JPAdjVConj;typeOther;label for Adjectival Verb Conjunctive Form;0;6-jul-2012-mno;
47;5,10,13,$;JPAdjVConjPast;typeConcept;label for Adjectival Verb Conjunctive (Plain Affirmative Past) Form;0;02-aug-2012-mno;
48;5,10,$;JPAdjVHypo;typeRelation;label for Adjectival Verb Hypothetical Form;0;02-aug-2012-mno;
51;5,10,$;JPAdjVerbSuffix;typeRelation;label for Adjective Suffix verbs;0;02-aug-2012-mno;
49;5,10,13,17,$;JPAdj;typeConcept;label for adjectives;0;02-5-2012-mno;
50;5,10,$;JPAdjR;typeRelation;label for Adjectives that should be treated as Relations;0;05-sep-2012-mno;
316;5,10,$;JPAuxAdj;typeOther;Label for Auxiliary Adjective (補助形容詞);0;08-oct-2013-mno;

/* Flavors of Verbs //
52;5,10,$;JPSugiruVerb;typeRelation;label for すぎる verbs;0;02-aug-2012-mno;
53;5,10,13,$;JPNaruVerb;typeRelation;label for なる verbs;0;13-jun-2012-mno;
54;5,10,13,$;JPVerbNoun;typeConcept;label for words that can be a verb or a noun;0;01-05-2012-mno;
