
/* Lexreps with B or E
;;B om;;SBegin;-;SVIgnoreCap;SVConj;SVCondition;


/* Lexreps for numbers
;;(.|)(0|1|2|3|4|5|6|7|8|9);;SVNum
;;(.|)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;
;;(.|)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;
;;(.|)(0|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;
;;1(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;SVYear;
;;(.|)2(2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;
;;20(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;SVYear;
;;21(0|1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9);;SVNum;SVYear;

;;två;;SVNumber;
;;trehundra;;SVNumber;
;;fyrahundra;;SVNumber;
;;sexhundra;;SVNumber;
;;åttahundra;;SVNumber;
;;niohundra;;SVNumber;
;;tvåtusen;;SVNumber;
;;tretusen;;SVNumber;
;;fyratusen;;SVNumber;
;;femtusen;;SVNumber;
;;sextusen;;SVNumber;
;;sjutusen;;SVNumber;
;;åttatusen;;SVNumber;
;;niotusen;;SVNumber;
;;miljonen;;SVNumber;
;;miljoner;;SVNumber;
;;miljonerna;;SVNumber;
;;miljard;;SVNumber;
;;miljarder;;SVNumber;
;;en halv miljon;;SVNumber;
;;en halv miljard;;SVNumber;

;;(två|tre|fyra|fem|sex|sju|åtta|nio|tio|elva|tolv) och en halv;;SVNumber;
;;(två|tre|fyra|fem|sex|sju|åtta|nio|tio|elva|tolv) och ett halvt;;SVNumber;

;;85-årige man;;SVAdj;-;SVCon;
;;86-årige man;;SVAdj;-;SVCon;
;;87-årige man;;SVAdj;-;SVCon;
;;88-årige man;;SVAdj;-;SVCon;
;;89-årige man;;SVAdj;-;SVCon;
;;90-årige man;;SVAdj;-;SVCon;
;;91-årige man;;SVAdj;-;SVCon;
;;92-årige man;;SVAdj;-;SVCon;
;;93-årige man;;SVAdj;-;SVCon;
;;94-årige man;;SVAdj;-;SVCon;
;;95-årige man;;SVAdj;-;SVCon;
;;96-årige man;;SVAdj;-;SVCon;
;;97-årige man;;SVAdj;-;SVCon;
;;98-årige man;;SVAdj;-;SVCon;
;;99-årige man;;SVAdj;-;SVCon;
/* Expanded previously by DELVE....;;(1|2|3|4|5|6|7|8|9)(0|1|2|3|4|5|6|7|8|9)-årige man;;SVAdj;-;SVCon;;




/* Lexreps for special characters

;;\(1\);;SVLayout;
;;\(2\);;SVLayout;
;;\(3\);;SVLayout;
;;\(4\);;SVLayout;
;;\(5\);;SVLayout;
;;\(6\);;SVLayout;
;;\(7\);;SVLayout;
;;\(8\);;SVLayout;
;;\(9\);;SVLayout;


;;…;;Punctuation;
;;,;;SVComma;Punctuation;
;;+;;SVPlussign;
;;*;;SVLayout;
;;\(;;SVBracket1;Punctuation;
;;\);;SVBracket2;Punctuation;


/* Other lexreps

;;av;;SVPrep;SVAv;
;;bakom;;SVPrep;
;;efter;;SVPrep;
;;framför;;SVPrep;
;;ifran;;SVPrep;
;;fran;;SVPrep;
;;för;;SVPrep;SVConj;
;;genom;;SVPrep;
;;, genom att;;SVComma;SVPunctuation;-;SVConj;SVAtt;Join;
;;under;;SVPrep;
;;vid;;SVPrep;
;;åt;;SVPrep;
;;ty;;SVConj;
;;utan;;SVConj;SVUtan;
;;utan också;;SVAndOrBut;SVNegStop;
;;utan även;;SVAndOrBut;SVNegStop;
;;som;;SVConj;SVSom;


;;i;;SVPrep;
;;i väg;;SVAdv;
;;i stället för;;SVPrep;
