/* This file requires rewriting of ß to ss in prepro.csv, but no rewriting of ä, ö and ü.
/* It recognizes input with ä, ö, ü as well as with ae, oe, ue.

;;-;KB17, added Hyphen #19-sde;DEKomma;DEHyphen
;;altehrwürdiges;DTI,altehrwürdig;DEAttradj;
;;altem;KB08;DEAttradj;
;;alten;KB08;DEAttradj;
;;altenmarkt an der alz;DEGeo,KB17;DECon;
;;altenstadt an der waldnaab;DEGeo,KB17;DECon;
;;altere;KB11,altern;DERel;
;;altern;KB11,altern;DERelCon;
;;alternativ;KB08;DEPredadj;
;;alternativen;KB08;DEAttradj;
;;alternativer;KB08;DEAdj;
;;alternden;KB08;DEAttradj;
;;alterst;KB11,altern;DERel;
;;altert;KB11;DERel;
;;alterte;KB11,altern;DERel;
;;alterten;KB11,altern;DERel;
;;altes;KB08;DEAttradj;
;;am;;DEPrepart;
;;am grossen bruch;DEGeo,KB17;DECon;
;;am grossen rhode;DEGeo,KB17;DECon;
;;am meisten;KB09;DEAdv;DEAdvDegree;
;;am mellensee;DEGeo,KB17;DECon;
;;am salzhaff;DEGeo,KB17;DECon;
;;am gleichen tag;2016-01-11-sde;DEAdv;DEAdvTime;
;;am selben tag;2016-01-11-sde;DEAdv;DEAdvTime;
;;ambitioniere;KB11,ambitionieren;DERel;
;;ambitionieren;KB11,ambitionieren;DEInf;
;;ambitionierst;KB11,ambitionieren;DERel;
;;ambitioniert;KB11,ambitionieren;DERel;
;;ambitionierte;KB11;DEVerbAdj;
;;ambitionierten;KB11,ambitionieren;DEVerbAdj;
;;ambulant;KB08;DEPredadj;
;;ambulante;KB08;DEAttradj;
;;ambulanten;KB08;DEAttradj;
;;ambulanter;KB08;DEAdj;
;;amerikanische;KB08;DEGeoadj;
;;amerikanischem;KB08;DEGeoadj;
;;amerikanischen;KB08;DEGeoadj;
;;amerikanischer;KB08;DEGeoadj;
;;amerikanisches;KB08;DEGeoadj;
;;ammeldingen an der our;DEGeo,KB17;DECon;
;;ammeldingen bei neuerburg;DEGeo,KB17;DECon;
;;amortisiere;KB11,amortisieren;DERel;
;;amortisieren;KB11,amortisieren;DEInf;
;;amortisierst;KB11,amortisieren;DERel;
;;amortisiert;KB11;DERel;
;;amortisierte;KB11,amortisieren;DERel;
;;amortisierten;KB11,amortisieren;DEVerbAdj;
;;amnesty international;2014.2-sde;DECon;
;;amtiere;KB11,amtieren;DERel;
;;amtieren;deel5;DEInf;
;;amtierende;KB08;DEAttradj;
;;amtierenden;KB08;DEAttradj;
;;amtierender;KB08;DEAttradj;
;;amtierst;KB11,amtieren;DERel;
;;amtiert;KB11,amtieren;DERel;
;;amtierte;KB11,amtieren;DERel;
;;amtierten;KB11,amtieren;DERel;
;;amtlich;KB08;DEPredadj;
;;amtliche;KB08;DEAttradj;
;;amtlichen;KB08;DEAttradj;
;;amtlicher;KB08;DEAttradj;
;;amtliches;KB08;DEAttradj;
;;amüsiere;KB11,amüsieren;DERel;
;;amüsieren;KB11;DEInf;
;;amüsierst;KB11,amüsieren;DERel;
;;amüsiert;KB11,amüsieren;DERel;
;;amüsierte;KB11,amüsieren;DERel;
;;amüsierten;KB11,amüsieren;DERel;
;;an;;DEPrep;
;;an der oder;DEGeo,KB17;DECon;
;;an der poststrasse;DEGeo,KB17;DECon;
;;anabole;KB14;DEAttradj;
;;anabolen;KB14;DEAttradj;
;;anaeroben;KB14;DEAttradj;
;;analer;KB14;DEAttradj;
;;analog;KB08;DEPredadj;
;;analoge;KB08;DEAttradj;
;;analysiere;KB11,analysieren;DERel;
;;analysieren;;DEInf;
;;analysierst;KB11,analysieren;DERel;
;;analysiert;deel2;DERel;
;;analysierte;KB11,analysieren;DEVerbAdj;
;;analysierten;KB11;DEVerbAdj;
;;anbahne;KB11,anbahnen;DERel;
;;anbahnen;KB11,anbahnen;DEInf;
;;anbahnenden;KB08;DEAttradj;
;;anbahnst;KB11,anbahnen;DERel;
;;anbahnt;KB11,anbahnen;DERel;
;;anbahnte;KB11,anbahnen;DERel;
;;anbahnten;KB11,anbahnen;DERel;
;;anband;KB11,anbinden;DERel;
;;anbanden;KB11,anbinden;DERel;
;;anbaue;KB11,anbauen;DERel;
;;anbauen;KB11,anbauen;DEInf;
;;anbaust;KB11,anbauen;DERel;
;;anbaut;KB11,anbauen;DERel;
;;anbaute;KB11,anbauen;DERel;
;;anbauten;KB11;DERelCon;
;;anbelange;KB11,anbelangen;DERel;
;;anbelangen;KB11,anbelangen;DEInf;
;;anbelangst;KB11,anbelangen;DERel;
;;anbelangt;deel3;DERel;
;;anbelangte;KB11,anbelangen;DERel;
;;anbelangten;KB11,anbelangen;DERel;
;;anberaume;KB11,anberaumen;DERel;
;;anberaumen;KB11,anberaumen;DEInf;
;;anberaumst;KB11,anberaumen;DERel;
;;anberaumt;deel3;DEPart;
;;anberaumte;deel5;DEVerbAdj;
;;anberaumten;deel4;DEVerbAdj;
;;anbetraf;KB11,anbetreffen;DERel;
;;anbetrafen;KB11,anbetreffen;DERel;
;;anbetreffe;KB11,anbetreffen;DERel;
;;anbetreffen;KB11,anbetreffen;DEInf;
;;anbetrefft;KB11,anbetreffen;DERel;
;;anbetriffst;KB11,anbetreffen;DERel;
;;anbetrifft;KB11;DERel;
;;anbetroffen;KB11,anbetreffen;DEPart;
;;anbiete;deel3;DERel;
;;anbieten;;DEInf;
;;anbietest;KB11,anbieten;DERel;
;;anbietet;deel3;DERel;
;;anbinde;KB11,anbinden;DERel;
;;anbinden;KB11,anbinden;DEInf;
;;anbindest;KB11,anbinden;DERel;
;;anbindet;KB11,anbinden;DERel;
;;anblicke;KB11,anblicken;DERelCon;
;;anblicken;KB11;DERelCon;
;;anblickst;KB11,anblicken;DERel;
;;anblickt;KB11,anblicken;DERel;
;;anblickte;KB11,anblicken;DERel;
;;anblickten;KB11,anblicken;DERel;
;;anböten;deel4;DERel;
;;anbot;KB11;DERel;
;;anboten;KB11;DERel;
;;anbracht;KB11;DERel;
;;anbrachte;KB11,anbringen;DERel;
;;anbrachten;KB11,anbringen;DERel;
;;anbrannte;KB07;DERel;
;;anbrannten;KB11,anbrennen;DERel;
;;anbrenne;KB11,anbrennen;DERel;
;;anbrennen;KB11,anbrennen;DEInf;
;;anbrennst;KB11,anbrennen;DERel;
;;anbrennt;KB11,anbrennen;DERel;
;;anbringe;KB11,anbringen;DERel;
;;anbringen;deel4;DEInf;
;;anbringst;KB11,anbringen;DERel;
;;anbringt;KB11,anbringen;DERel;
;;andauere;KB11,andauern;DERel;
;;andauern;deel2;DEInf;
;;andauernd;KB08;DEPredadj;
;;andauernde;KB08;DEAttradj;
;;andauernden;KB08;DEAttradj;
;;andauernder;KB08;DEAttradj;
;;andauerst;KB11,andauern;DERel;
;;andauert;deel4;DERel;
;;andauerte;KB11,andauern;DERel;
;;andauerten;deel5;DERel;
;;andere;KB11 Attradj, changed 16-12-2015-sde;DEBeginadj;DEIndefpron;DEAnder;DEConIfCap;
;;anderer;20-12-2015-sde;DEAttradj;DEIndefpron;DEAnder;
;;anderen;KB11 Attradj, changed 16-12-2015-sde;DEAttradj;DEIndefpron;DEAnder;DEConIfCap;
;;anderenfalls;deel2;DEAdv;DEAdvNonrelevant;
;;andererseits;deel2;DEAdv;DEAdvNonrelevant;
;;anderes;KB08 Attradj, changed 21-12-2015-sde;DEAttradj;DEIndefpron;DEAnder;
;;anderfalls;deel4;DEAdv;DEAdvNonrelevant;
;;andernfalls;deel2;DEAdv;DEAdvNonrelevant;
;;andernorts;KB14;DEAdv;DEAdvPlace;
;;anders;16-12-2015-sde;DEAdv;DEAdvManner;DEConIfCap;
;;anderseits;deel4;DEAdv;DEAdvNonrelevant;
;;anders herum;2014.2-sde;DEAdv;DEAdvManner;
;;anderslautende;KB08;DEAttradj;
;;anderslautenden;KB08;DEAttradj;
;;anderslautender;KB08;DEAttradj;
;;anderswo;deel3;DEAdv;DEAdvPlace;
;;anderthalb;DENum;DEAttradj;
;;anderweitig;KB08;DEPredadj;
;;anderweitiger;KB14;DEAttradj;
;;andeute;KB11,andeuten;DERel;
;;andeuten;KB11;DEInf;
;;andeutest;KB11,andeuten;DERel;
;;andeutet;KB11,andeuten;DERel;
;;andeutete;KB11,andeuten;DERel;
;;andeuteten;KB11,andeuten;DERel;
;;andocke;KB11,andocken;DERel;
;;andocken;deel4;DEInf;
;;andockst;KB11,andocken;DERel;
;;andockt;KB11,andocken;DERel;
;;andockte;KB11,andocken;DERel;
;;andockten;KB11,andocken;DERel;
;;andrang;deel2;DERelCon;
;;andrangen;KB11,andringen;DERel;
;;andringe;KB11,andringen;DERel;
;;andringen;KB11,andringen;DEInf;
;;andringst;KB11,andringen;DERel;
;;andringt;KB11,andringen;DERel;
;;androhe;KB11,androhen;DERel;
;;androhen;KB11,androhen;DEInf;
;;androhst;KB11,androhen;DERel;
;;androht;KB11,androhen;DERel;
;;androhte;KB11,androhen;DERel;
;;androhten;KB11,androhen;DERel;
;;anecke;DTI,anecken;DERel;
;;anecken;DTI,anecken;DEInf;
;;aneckt;DTI,anecken;DERel;
;;aneckte;DTI,anecken;DERel;
;;aneckten;DTI,anecken;DERel;
;;aneigne;KB11,aneignen;DERel;
;;aneignen;KB11;DEInf;
;;aneignest;KB11,aneignen;DERel;
;;aneignet;KB11,aneignen;DERel;
;;aneignete;KB11,aneignen;DERel;
;;aneigneten;KB11;DERel;
;;aneinander;KB07 DEAdv, changed 2014.2-sde;DEAdv;DEVerbteil;
;;aneinandergeraten;deel5;DEInf;
;;aneinandergereiht;KB11,aneinanderreihen;DEPart;
;;aneinanderreihe;KB11,aneinanderreihen;DERel;
;;aneinanderreihen;KB11;DEInf;
;;aneinanderreihst;KB11,aneinanderreihen;DERel;
;;aneinanderreiht;KB11,aneinanderreihen;DERel;
;;aneinanderreihte;KB11,aneinanderreihen;DERel;
;;aneinanderreihten;KB11,aneinanderreihen;DERel;
;;aneinanderzureihen;KB11,aneinanderreihen;DEZuInf;
;;anerkannt;;DEPart;
;;anerkannte;deel3;DEVerbAdj;
;;anerkannten;deel3;DEVerbAdj;
;;anerkannter;KB08;DEAttradj;
;;anerkanntes;KB08;DEAttradj;
;;anerkenne;deel3;DERel;
;;anerkennen;;DEInf;
;;anerkennst;KB11,anerkennen;DERel;
;;anerkennt;deel3;DERel;
;;anfache;KB11,anfachen;DERel;
;;anfachen;KB11,anfachen;DEInf;
;;anfachst;KB11,anfachen;DERel;
;;anfacht;KB11,anfachen;DERel;
;;anfachte;KB11,anfachen;DERel;
;;anfachten;KB11,anfachen;DERel;
;;anfährst;KB11,anfahren;DERel;
;;anfährt;KB11,anfahren;DERel;
;;anfällig;KB08;DEPredadj;
;;anfällst;KB11,anfallen;DERel;
;;anfällt;KB11,anfallen;DERel;
;;anfänge;deel5;DERelCon;
;;anfängen;deel3;DERelCon;
;;anfängliche;KB08;DEAttradj;
;;anfänglichen;KB08;DEAttradj;
;;anfängst;KB11,anfangen;DERel;
;;anfängt;KB11,anfangen;DERel;
;;anfahre;KB11,anfahren;DERel;
;;anfahren;deel4;DEInf;
;;anfahrt;KB11,anfahren;DERelCon;
;;anfalle;KB11,anfallen;DERel;
;;anfallen;deel3;DEInf;
;;anfallende;KB08;DEAttradj;
;;anfallenden;KB08;DEAttradj;
;;anfallt;KB11,anfallen;DERel;
;;anfange;KB11,anfangen;DERel;
;;anfangen;deel3;DEInf;
;;anfangs;deel2, changed AdvTime into AdvTemp 03-12-2015-sde;DEAdv;DEAdvTemp;
;;anfangt;KB11,anfangen;DERel;
;;anfasse;KB11,anfassen;DERel;
;;anfassen;KB11,anfassen;DEInf;
;;anfasst;KB11,anfassen;DERel;
;;anfasste;KB11,anfassen;DERel;
;;anfassten;KB11,anfassen;DERel;
;;anfechte;KB11,anfechten;DERel;
;;anfechten;deel2;DEInf;
;;anfechtet;KB11,anfechten;DERel;
;;anfeinde;KB11,anfeinden;DERel;
;;anfeinden;KB11,anfeinden;DEInf;
;;anfeindest;KB11,anfeinden;DERel;
;;anfeindet;KB11,anfeinden;DERel;
;;anfeindete;KB11,anfeinden;DERel;
;;anfeindeten;KB11,anfeinden;DERel;
;;anfertige;KB11,anfertigen;DERel;
;;anfertigen;deel5;DEInf;
;;anfertigst;KB11,anfertigen;DERel;
;;anfertigt;KB11,anfertigen;DERel;
;;anfertigte;KB11,anfertigen;DERel;
;;anfertigten;KB11;DERel;
;;anfeuern;DTI,anfeuern;DEInf;
;;anfeuert;DTI,anfeuern;DERel;
;;anfeuerte;DTI,anfeuern;DERel;
;;anfeuerten;DTI,anfeuern;DERel;
;;anficht;KB11,anfechten;DERel;
;;anfichtst;KB11,anfechten;DERel;
;;anfiel;KB11,anfallen;DERel;
;;anfielen;KB11;DERel;
;;anfing;KB11,anfangen;DERel;
;;anfingen;KB11,anfangen;DERel;
;;anfliege;KB11,anfliegen;DERel;
;;anfliegen;deel3;DEInf;
;;anfliegst;KB11,anfliegen;DERel;
;;anfliegt;KB11,anfliegen;DERel;
;;anflog;KB11,anfliegen;DERel;
;;anflogen;KB11,anfliegen;DERel;
;;anfocht;KB11,anfechten;DERel;
;;anfochten;KB11,anfechten;DERel;
;;anfordere;KB11,anfordern;DERel;
;;anfordern;deel3;DEInf;
;;anforderst;KB11,anfordern;DERel;
;;anfordert;KB11,anfordern;DERel;
;;anforderte;KB11,anfordern;DERel;
;;anforderten;KB11,anfordern;DERel;
;;anfrage;;DERelCon;
;;anfragen;;DERelCon;
;;anfragst;KB11,anfragen;DERel;
;;anfragt;KB11,anfragen;DERel;
;;anfragte;KB11,anfragen;DERel;
;;anfragten;KB11,anfragen;DERel;
;;anfreunde;KB11,anfreunden;DERel;
;;anfreunden;deel5;DEInf;
;;anfreundest;KB11,anfreunden;DERel;
;;anfreundet;KB11,anfreunden;DERel;
;;anfreundete;KB11,anfreunden;DERel;
;;anfreundeten;KB11,anfreunden;DERel;
;;anführe;KB11,anführen;DERel;
;;anführen;KB11,anführen;DEInf;
;;anführst;KB11,anführen;DERel;
;;anführt;KB11;DERel;
;;anführte;KB11,anführen;DERel;
;;anführten;KB11,anführen;DERel;
;;anfuhr;KB11,anfahren;DERelCon;
;;anfuhren;KB11,anfahren;DERelCon;
;;angab;;DERel;
;;angaben;;DERelCon;
;;angebahnt;deel4;DEPart;
;;angebaut;deel3;DEPart;
;;angebauten;KB08;DEAttradj;
;;angebe;KB11,angeben;DERel;
;;angeben;deel2;DEInf;
;;angeblich;;DEAdv;DEAdvModality;
;;angebliche;KB08;DEAttradj;
;;angeblichen;KB08;DEAttradj;
;;angeblicher;KB08;DEAdj;
;;angebliches;KB08;DEAttradj;
;;angeblickt;KB11,anblicken;DEPart;
;;angeboten;;DERelCon;
;;angebotene;KB08;DEAttradj;
;;angebotenen;KB08;DEAttradj;
;;angebotsorientiert;KB14;DEPredadj;
;;angebracht;;DEPart;
;;angebrachte;DTI,angebracht;DEAttradj;
;;angebrachtem;DTI,angebracht;DEAttradj;
;;angebrachten;DTI,angebracht;DEAttradj;
;;angebrachter;DTI,angebracht;DEAttradj;
;;angebrachtes;DTI,angebracht;DEAttradj;
;;angebrannt;KB11,anbrennen;DEPart;
;;angebraten;KB14,anbraten;DEPart;
;;angebt;KB11,angeben;DERel;
;;angebunden;deel4;DEPart;
;;angedacht;deel3;DEPredadj;
;;angedauert;KB11,andauern;DEPart;
;;angedeihe;KB12,angedeihen;DERel;
;;angedeihen;KB12,angedeihen;DEInf;
;;angedeihst;KB12,angedeihen;DERel;
;;angedeiht;KB12,angedeihen;DERel;
;;angedeutet;;DEPart;
;;angedieh;KB12,angedeihen;DERel;
;;angediehen;KB12,angedeihen;DERel;
;;angedockt;deel3;DEPart;
;;angedroht;;DEPart;
;;angedrohte;KB08;DEAttradj;
;;angedrohten;KB08;DEAttradj;
;;angedrungen;KB11,andringen;DEPart;
;;angeeckt;DTI,anecken;DEPart;
;;angeeignet;KB11,aneignen;DEPart;
;;angefacht;deel5;DEPart;
;;angefahren;deel3;DEPart;
;;angefallen;deel3;DEPart;
;;angefangen;deel3;DEPart;
;;angefasst;KB11,anfassen;DEPart;
;;angefeindet;KB11;DEPart;
;;angefertigt;deel3;DEPart;
;;angefeuert;DTI,anfeuern;DEPart;
;;angeflogen;deel3;DEPart;
;;angefochten;deel3;DEPart;
;;angefordert;;DEPart;
;;angefragt;KB11,anfragen;DEPart;
;;angefreundet;KB11,anfreunden;DEPart;
;;angeführt;deel2;DEPart;
;;angeführte;KB08;DEAttradj;
;;angeführten;KB08;DEAttradj;
;;angegangen;deel3;DEPart;
;;angegeben;;DEPart;
;;angegebene;KB08;DEAttradj;
;;angegebenen;KB08;DEAttradj;
;;angeglichen;deel2;DEPart;
;;angegliedert;deel5;DEPart;
;;angegrenzt;KB11,angrenzen;DEPart;
;;angegriffen;;DEPart;
;;angegriffenen;KB08;DEAttradj;
;;angeguckt;DTI,angucken;DEPart;
;;angegurtet;KB11,angurten;DEPart;
;;angehängt;KB11;DEPart;
;;angehäuft;deel3;DEPart;
;;angehalten;deel2;DEPart;
;;angehe;deel3;DERel;
;;angeheizt;deel3;DEPart;
;;angehen;deel2;DEInf;
;;angehende;KB08;DEAttradj;
;;angeheuert;deel4;DEPart;
;;angehoben;;DEPart;
;;angehöre;deel4;DERel;
;;angehören;;DEInf;
;;angehörst;KB11,angehören;DERel;
;;angehört;;DEPart;
;;angehörte;KB11,angehören;DERel;
;;angehörten;KB08;DEAttradj;
;;angehst;KB11,angehen;DERel;
;;angeht;deel2;DERel;
;;angekämpft;KB16,ankämpfen;DEPart;
;;angekauft;KB11,ankaufen;DEPart;
;;angekaufte;DTI,angekauft;DEAttradj;
;;angekauftem;DTI,angekauft;DEAttradj;
;;angekauften;DTI,angekauft;DEAttradj;
;;angekaufter;DTI,angekauft;DEAttradj;
;;angekauftes;DTI,angekauft;DEAttradj;
;;angekettet;KB08;DEPredadj;
;;angeklagt;;DEPart;
;;angeklickt;KB11,anklicken;DEPart;
;;angeklungen;KB11;DEPart;
;;angeknüpft;KB11,anknüpfen;DEPart;
;;angekommen;;DEPart;
;;angekommene;DTI,angekommen;DEAttradj;
;;angekommenem;DTI,angekommen;DEAttradj;
;;angekommenen;DTI,angekommen;DEAttradj;
;;angekommener;DTI,angekommen;DEAttradj;
;;angekommenes;DTI,angekommen;DEAttradj;
;;angekoppelt;deel5;DEPart;
;;angekreidet;KB11,ankreiden;DEPart;
;;angekreuzt;KB11;DEPart;
;;angekündigt;;DEPart;
;;angekündigte;KB08;DEAttradj;
;;angekündigten;KB08;DEAttradj;
;;angekündigter;KB08;DEAttradj;
;;angekurbelt;deel3;DEPart;
;;angelagert;KB07;DEPart;
;;angelangt;deel3;DEPart;
;;angelastet;deel3;DEPart;
;;angelaufen;;DEPart;
;;angele;KB11,angeln;DERel;
;;angelegen;KB11,anliegen;DEPart;
;;angelegert;KB11,anlegern;DEPart;
;;angelegt;;DEPart;
;;angelegte;KB08;DEAttradj;
;;angelegten;KB08;DEAttradj;
;;angelegter;KB08;DEAttradj;
;;angelegtes;KB08;DEAttradj;
;;angelehnt;KB11;DEPart;
;;angeleitet;KB11,anleiten;DEPart;
;;angelernt;KB11,anlernen;DEPart;
;;angeliefert;deel4;DEPart;
;;angeln;deel5;DEInf;
;;angelockt;deel3;DEPart;
;;angelst;KB11,angeln;DERel;
;;angelt;KB11,angeln;DERel;
;;angelte;KB11,angeln;DERel;
;;angelten;KB11,angeln;DERel;
;;angemacht;KB11;DEPart;
;;angemahnt;;DEPart;
;;angemahnte;KB08;DEAttradj;
;;angemeldet;;DEPart;
;;angemeldete;KB08;DEAttradj;
;;angemeldeten;KB08;DEAttradj;
;;angemerkt;KB11,anmerken;DEPart;
;;angemessen;;DEPredadj;
;;angemessene;KB08;DEAttradj;
;;angemessenem;KB14;DEAttradj;
;;angemessenen;KB08;DEAttradj;
;;angemessener;KB08;DEAdj;
;;angemessenes;KB08;DEAttradj;
;;angemietet;deel3;DEPart;
;;angenähert;deel2;DEPart;
;;angenehm;KB08;DEPredadj;
;;angenehme;DTI,angenehm;DEAttradj;
;;angenehmem;DTI,angenehm;DEAttradj;
;;angenehmen;DTI,angenehm;DEAttradj;
;;angenehmer;DTI,angenehm;DEAttradj;
;;angenehmes;DTI,angenehm;DEAttradj;
;;angenommen;;DEPart;
;;angenommene;KB08;DEAttradj;
;;angenommenen;KB08;DEAttradj;
;;angeordnet;;DEPart;
;;angepackt;deel3;DEPart;
;;angepasst;;DEPart;
;;angepasste;KB08;DEAttradj;
;;angepasstem;DTI,angepasst;DEAttradj;
;;angepassten;DTI,angepasst;DEAttradj;
;;angepasster;DTI,angepasst;DEAttradj;
;;angepasstes;DTI,angepasst;DEAttradj;
;;angepeilt;deel4;DEPart;
;;angepeilte;KB08;DEAttradj;
;;angepeilten;KB08;DEAttradj;
;;angepfiffen;KB11,anpfeifen;DEPart;
;;angepflanzt;KB14,anpflanzen;DEPart;
;;angepöbelt;deel4;DEPart;
;;angeprangert;deel2;DEPart;
;;angepreist;KB11,anpreisen;DEPart;
;;angepriesen;KB11;DEPart;
;;angeraten;KB11,anraten;DEPart;
;;angerechnet;;DEPart;
;;angeredet;KB11;DEPart;
;;angeregt;;DEPart;
;;angeregte;KB08;DEAttradj;
;;angeregten;KB08;DEAttradj;
;;angereichert;KB11,anreichern;DEPart;
;;angereist;deel2;DEPart;
;;angereizt;KB11,anreizen;DEPart;
;;angerichtet;;DEPart;
;;angerichteten;KB08;DEAttradj;
;;angerissen;KB11;DEPart;
;;angerührt;DTI,anrühren;DEPart;
;;angerufen;;DEPart;
;;angesagt;deel2;DEPart;
;;angesammelt;deel4;DEPart;
;;angeschafft;deel3;DEPart;
;;angeschaltet;KB11,anschalten;DEPart;
;;angeschaut;deel4;DEPart;
;;angeschlagen;deel2;DEPart;
;;angeschlagene;KB08;DEAttradj;
;;angeschlagenen;KB08;DEAttradj;
;;angeschlossen;;DEPart;
;;angeschlossenen;KB08;DEAttradj;
;;angeschnallt;deel4;DEPart;
;;angeschnitten;KB11;DEPart;
;;angeschoben;KB11,anschieben;DEPart;
;;angeschossen;deel3;DEPart;
;;angeschossener;KB08;DEAttradj;
;;angeschrieben;deel3;DEPart;
;;angeschwärzt;KB11,anschwärzen;DEPart;
;;angeschwebt;DTI,anschweben;DEPart;
;;angeschwemmt;deel4;DEPart;
;;angeschwollen;KB11,anschwellen;DEPart;
;;angeschwommen;KB11,anschwemmen;DEPart;
;;angesehen;deel2;DEPart;
;;angesehensten;KB08;DEAttradj;
;;angesetzt;;DEPart;
;;angesetzte;KB08;DEAttradj;
;;angesetzten;KB08;DEAttradj;
;;angesichts;;DEPrep;
;;angesiedelt;deel2;DEPart;
;;angesiedelte;KB08;DEAttradj;
;;angesiedelten;KB08;DEAttradj;
;;angespannt;;DEPart;
;;angespannte;KB08;DEAttradj;
;;angespannten;KB08;DEAttradj;
;;angespannter;KB08;DEAdj;
;;angespart;KB11,ansparen;DEPart;
;;angespornt;KB11;DEPart;
;;angesprochen;;DEPart;
;;angesprochene;KB08;DEAttradj;
;;angespült;deel5;DEPart;
;;angestachelt;KB11,anstacheln;DEPart;
;;angestammten;KB08;DEAttradj;
;;angestanden;KB11,anstehen;DEPart;
;;angesteckt;deel2;DEPart;
;;angestellt;deel2;DEPart;
;;angesteuert;KB11,ansteuern;DEPart;
;;angesteuerte;DTI,angesteuert;DEAttradj;
;;angesteuertem;DTI,angesteuert;DEAttradj;
;;angesteuerten;DTI,angesteuert;DEAttradj;
;;angesteuerter;DTI,angesteuert;DEAttradj;
;;angesteuertes;DTI,angesteuert;DEAttradj;
;;angestiegen;;DEPart;
;;angestiftet;deel3;DEPart;
;;angestimmt;KB11,anstimmen;DEPart;
;;angestochen;KB11,anstechen;DEPart;
;;angestossen;deel3;DEPart;
;;angestossene;KB08;DEAttradj;
;;angestossenem;DTI,angestossen;DEAttradj;
;;angestossenen;DTI,angestossen;DEAttradj;
;;angestossener;DTI,angestossen;DEAttradj;
;;angestossenes;DTI,angestossen;DEAttradj;
;;angestrebt;;DEPart;
;;angestrebte;KB08;DEAttradj;
;;angestrebten;KB08;DEAttradj;
;;angestrebtes;KB08;DEAttradj;
;;angestrengt;deel3;DEPart;
;;angestrichen;KB11,anstreichen;DEPart;
;;angesungen;KB11,ansingen;DEPart;
;;angetan;deel3;DEPart;
;;angetastet;deel3;DEPart;
;;angetragen;KB11,antragen;DEPart;
;;angetreten;;DEPart;
;;angetrieben;deel4;DEPart;
;;angetroffen;KB11,antreffen;DEPart;
;;angetrunken;deel5;DEPart;
;;angetrunkene;KB08;DEAttradj;
;;angewachsen;deel3;DEPart;
;;angewählt;DTI,anwählen;DEPart;
;;angewandt;deel2;DEPart;
;;angewandte;KB08;DEAttradj;
;;angewanzt;KB11,anwanzen;DEPart;
;;angewendet;deel2;DEPart;
;;angewiesen;;DEPart;
;;angeworben;deel3;DEPart;
;;angeworfen;KB11,anwerfen;DEPart;
;;angezapft;deel5;DEPart;
;;angezeigt;;DEPart;
;;angezettelt;deel3;DEPart;
;;angezogen;deel3;DEPart;
;;angezündet;;DEPart;
;;angezweifelt;deel3;DEPart;
;;angibst;KB11,angeben;DERel;
;;angibt;KB11;DERel;
;;anging;KB11,angehen;DERel;
;;angingen;KB11,angehen;DERel;
;;angleiche;KB11,angleichen;DERel;
;;angleichen;deel3;DEInf;
;;angleichst;KB11,angleichen;DERel;
;;angleicht;KB11,angleichen;DERel;
;;anglich;KB11,angleichen;DERel;
;;anglichen;KB11,angleichen;DERel;
;;angliedere;KB11,angliedern;DERel;
;;angliedern;KB11,angliedern;DEInf;
;;angliederst;KB11,angliedern;DERel;
;;angliedert;KB11,angliedern;DERel;
;;angliederte;KB11,angliedern;DERel;
;;angliederten;KB11,angliedern;DERel;
;;angreife;KB11,angreifen;DERel;
;;angreifen;deel3;DEInf;
;;angreifst;KB11,angreifen;DERel;
;;angreift;KB11,angreifen;DERel;
;;angrenze;KB11,angrenzen;DERel;
;;angrenzen;KB11,angrenzen;DEInf;
;;angrenzende;KB08;DEAttradj;
;;angrenzenden;KB08;DEAttradj;
;;angrenzt;KB11,angrenzen;DERel;
;;angrenzte;KB11,angrenzen;DERel;
;;angrenzten;KB11,angrenzen;DERel;
;;angriff;;DERelCon;
;;angriffen;;DERelCon;
;;angucke;DTI,angucken;DERel;
;;angucken;DTI,angucken;DEInf;
;;anguckt;DTI,angucken;DERel;
;;anguckte;DTI,angucken;DERel;
;;angurte;KB11,angurten;DERel;
;;angurten;KB11,angurten;DEInf;
;;angurtest;KB11,angurten;DERel;
;;angurtet;KB11,angurten;DERel;
;;angurtete;KB11,angurten;DERel;
;;angurteten;KB11,angurten;DERel;
;;anhält;deel3;DERel;
;;anhältst;KB11,anhalten;DERel;
;;anhänge;KB11,anhängen, corrected #19-sde;DERelCon;
;;anhängen;KB11,anhängen;DEInf;
;;anhängig;KB08;DEPredadj;
;;anhängigen;KB08;DEAttradj;
;;anhängst;KB11,anhängen;DERel;
;;anhängt;KB11,anhängen;DERel;
;;anhäufe;KB11,anhäufen;DERel;
;;anhäufen;KB11,anhäufen;DEInf;
;;anhäufst;KB11,anhäufen;DERel;
;;anhäuft;KB11,anhäufen;DERel;
;;anhäufte;KB11,anhäufen;DERel;
;;anhäuften;KB11,anhäufen;DERel;
;;anhalt süd;DEGeo,KB17;DECon;
;;anhalte;deel4;DERel;
;;anhalten;deel2;DEInf;
;;anhaltend;KB08;DEPredadj;
;;anhaltende;KB08;DEAttradj;
;;anhaltendem;KB08;DEAttradj;
;;anhaltenden;KB08;DEAttradj;
;;anhaltender;KB08;DEAttradj;
;;anhaltendes;KB08;DEAttradj;
;;anhaltet;KB11,anhalten;DERel;
;;anhand;deel2;DEPrep;
;;anhebe;KB11,anheben;DERel;
