/* This file requires rewriting of ß to ss in prepro.csv, but no rewriting of ä, ö and ü.
/* It recognizes input with ä, ö, ü as well as with ae, oe, ue.

;;-;KB17, added Hyphen #19-sde;DEKomma;DEHyphen
/*;;300;KB11;DENum;DEAttradj;
/*;;31;KB11;DENum;DEAttradj;
;;31.;KB 14, format adapted on 20120904;DENumadj;
/*;;32;KB11;DENum;DEAttradj;
/*;;33;KB11;DENum;DEAttradj;
/*;;34;KB11;DENum;DEAttradj;
/*;;35;KB11;DENum;DEAttradj;
/*;;36;KB11;DENum;DEAttradj;
/*;;37;KB11;DENum;DEAttradj;
/*;;38;KB11;DENum;DEAttradj;
/*;;39;KB11;DENum;DEAttradj;
/*;;4;KB11;DENum;DEAttradj;
;;4.;KB 14, format adapted on 20120904;DENumadj;
/*;;40;KB11;DENum;DEAttradj;
/*;;400;KB11;DENum;DEAttradj;
/*;;41;KB11;DENum;DEAttradj;
/*;;42;KB11;DENum;DEAttradj;
/*;;43;KB11;DENum;DEAttradj;
/*;;44;KB11;DENum;DEAttradj;
/*;;45;KB11;DENum;DEAttradj;
/*;;46;KB11;DENum;DEAttradj;
/*;;47;KB11;DENum;DEAttradj;
/*;;48;KB11;DENum;DEAttradj;
/*;;49;KB11;DENum;DEAttradj;
/*;;5;KB11;DENum;DEAttradj;
;;5.;KB 14, format adapted on 20120904;DENumadj;
/*;;50;KB11;DENum;DEAttradj;
;;50-jähriges;KB08;DEAttradj;
/*;;500;KB11;DENum;DEAttradj;
/*;;50jähriges;KB08;DEAttradj;
/*;;51;KB11;DENum;DEAttradj;
/*;;52;KB11;DENum;DEAttradj;
/*;;53;KB11;DENum;DEAttradj;
/*;;54;KB11;DENum;DEAttradj;
/*;;55;KB11;DENum;DEAttradj;
;;550-jähriges;KB08;DEAttradj;
/*;;56;KB11;DENum;DEAttradj;
/*;;57;KB11;DENum;DEAttradj;
/*;;58;KB11;DENum;DEAttradj;
/*;;59;KB11;DENum;DEAttradj;
/*;;6;KB11;DENum;DEAttradj;
;;6.;KB 14, format adapted on 20120904;DENumadj;
/*;;60;KB11;DENum;DEAttradj;
;;60-jähriges;KB08;DEAttradj;
/*;;600;KB11;DENum;DEAttradj;
/*;;61;KB11;DENum;DEAttradj;
/*;;62;KB11;DENum;DEAttradj;
/*;;63;KB11;DENum;DEAttradj;
/*;;64;KB11;DENum;DEAttradj;
/*;;65;KB11;DENum;DEAttradj;
/*;;66;KB11;DENum;DEAttradj;
/*;;67;KB11;DENum;DEAttradj;
/*;;68;KB11;DENum;DEAttradj;
/*;;69;KB11;DENum;DEAttradj;
/*;;7;KB11;DENum;DEAttradj;
;;7.;KB 14, format adapted on 20120904;DENumadj;
/*;;70;KB11;DENum;DEAttradj;
/*;;700;KB11;DENum;DEAttradj;
/*;;71;KB11;DENum;DEAttradj;
/*;;72;KB11;DENum;DEAttradj;
/*;;73;KB11;DENum;DEAttradj;
