/* Single initials
28;;A.;0;uit nld
55;;B.;0;uit nld
82;;C.;0;uit nld
109;;D.;0;uit nld
137;;E.;0;uit nld
164;;F.;0;uit nld
191;;G.;0;uit nld
218;;H.;0;uit nld
245;;I.;0;uit nld
273;;J.;0;uit nld
300;;K.;0;uit nld
327;;L.;0;uit nld
354;;M.;0;uit nld
381;;N.;0;uit nld
410;;O.;0;uit nld
437;;P.;0;uit nld
464;;Q.;0;uit nld
491;;R.;0;uit nld
518;;S.;0;uit nld
545;;T.;0;uit nld
573;;U.;0;uit nld
600;;V.;0;uit nld
627;;W.;0;uit nld
654;;X.;0;uit nld
681;;Y.;0;uit nld
708;;Z.;0;uit nld

/* Double initials
29;;A.A.;0;uit nld
30;;A.B.;0;uit nld
31;;A.C.;0;uit nld
32;;A.D.;0;uit nld
33;;A.E.;0;uit nld
34;;A.F.;0;uit nld
35;;A.G.;0;uit nld
36;;A.H.;0;uit nld
37;;A.I.;0;uit nld
38;;A.J.;0;uit nld
39;;A.K.;0;uit nld
40;;A.L.;0;uit nld
41;;A.M.;0;uit nld
42;;A.N.;0;uit nld
43;;A.O.;0;uit nld
44;;A.P.;0;uit nld
45;;A.Q.;0;uit nld
46;;A.R.;0;uit nld
47;;A.S.;0;uit nld
48;;A.T.;0;uit nld
49;;A.U.;0;uit nld
50;;A.V.;0;uit nld
51;;A.W.;0;uit nld
52;;A.X.;0;uit nld
53;;A.Y.;0;uit nld
54;;A.Z.;0;uit nld
56;;B.A.;0;uit nld
57;;B.B.;0;uit nld
58;;B.C.;0;uit nld
59;;B.D.;0;uit nld
60;;B.E.;0;uit nld
61;;B.F.;0;uit nld
62;;B.G.;0;uit nld
63;;B.H.;0;uit nld
64;;B.I.;0;uit nld
65;;B.J.;0;uit nld
66;;B.K.;0;uit nld
67;;B.L.;0;uit nld
68;;B.M.;0;uit nld
69;;B.N.;0;uit nld
70;;B.O.;0;uit nld
71;;B.P.;0;uit nld
72;;B.Q.;0;uit nld
73;;B.R.;0;uit nld
74;;B.S.;0;uit nld
75;;B.T.;0;uit nld
76;;B.U.;0;uit nld
77;;B.V.;0;uit nld
78;;B.W.;0;uit nld
79;;B.X.;0;uit nld
80;;B.Y.;0;uit nld
81;;B.Z.;0;uit nld
83;;C.A.;0;uit nld
84;;C.B.;0;uit nld
85;;C.C.;0;uit nld
86;;C.D.;0;uit nld
87;;C.E.;0;uit nld
88;;C.F.;0;uit nld
89;;C.G.;0;uit nld
90;;C.H.;0;uit nld
91;;C.I.;0;uit nld
92;;C.J.;0;uit nld
93;;C.K.;0;uit nld
94;;C.L.;0;uit nld
95;;C.M.;0;uit nld
96;;C.N.;0;uit nld
97;;C.O.;0;uit nld
98;;C.P.;0;uit nld
99;;C.Q.;0;uit nld
100;;C.R.;0;uit nld
101;;C.S.;0;uit nld
102;;C.T.;0;uit nld
103;;C.U.;0;uit nld
104;;C.V.;0;uit nld
105;;C.W.;0;uit nld
106;;C.X.;0;uit nld
107;;C.Y.;0;uit nld
108;;C.Z.;0;uit nld
110;;D.A.;0;uit nld
111;;D.B.;0;uit nld
112;;D.C.;0;uit nld
113;;D.D.;0;uit nld
115;;D.E.;0;uit nld
116;;D.F.;0;uit nld
117;;D.G.;0;uit nld
118;;D.H.;0;uit nld
119;;D.I.;0;uit nld
120;;D.J.;0;uit nld
121;;D.K.;0;uit nld
122;;D.L.;0;uit nld
123;;D.M.;0;uit nld
124;;D.N.;0;uit nld
125;;D.O.;0;uit nld
126;;D.P.;0;uit nld
127;;D.Q.;0;uit nld
128;;D.R.;0;uit nld
129;;D.S.;0;uit nld
130;;D.T.;0;uit nld
131;;D.U.;0;uit nld
132;;D.V.;0;uit nld
133;;D.W.;0;uit nld
134;;D.X.;0;uit nld
135;;D.Y.;0;uit nld
136;;D.Z.;0;uit nld
138;;E.A.;0;uit nld
139;;E.B.;0;uit nld
140;;E.C.;0;uit nld
141;;E.D.;0;uit nld
142;;E.E.;0;uit nld
143;;E.F.;0;uit nld
144;;E.G.;0;uit nld
145;;E.H.;0;uit nld
146;;E.I.;0;uit nld
147;;E.J.;0;uit nld
148;;E.K.;0;uit nld
149;;E.L.;0;uit nld
150;;E.M.;0;uit nld
151;;E.N.;0;uit nld
152;;E.O.;0;uit nld
153;;E.P.;0;uit nld
154;;E.Q.;0;uit nld
155;;E.R.;0;uit nld
156;;E.S.;0;uit nld
157;;E.T.;0;uit nld
158;;E.U.;0;uit nld
159;;E.V.;0;uit nld
160;;E.W.;0;uit nld
161;;E.X.;0;uit nld
